country,capital,population
Afghanistan,Kabul,38928346
Brazil,Brasília,212559417
Canada,Ottawa,37742154
Denmark,Copenhagen,5792202
Egypt,Cairo,102334404
Finland,Helsinki,5540720
Greece,Athens,10423054
Hungary,Budapest,9660351
India,New Delhi,1380004385
Japan,Tokyo,126476461
Kenya,Nairobi,53771296
Lebanon,Beirut,6825445
Mexico,Mexico City,128932753
Nepal,Kathmandu,29136808
Oman,Muscat,5106626
Portugal,Lisbon,10196709
Qatar,Doha,2881053
Russia,Moscow,145934462
Spain,Madrid,46754778
Thailand,Bangkok,69799978
United Kingdom,London,67886011
Vietnam,Hanoi,97338579
Yemen,Sana'a,29825964
Zambia,Lusaka,18383955
Austria,Vienna,9006398
